app_id,title,rating,date,isEdited,review,userName,developerResponse
1482760714,Empfehlung,5,2020-12-02T15:10:37Z,False,"Tolle App, ich bin begeistert und vor allem dankbar. Monate müsste ich auf einen Therapieplatz warten, nun kann ich jetzt schon etwas tun.",Jujuk1992,
1482760714,Einfach & effektiv,5,2020-12-04T07:07:22Z,False,"Kann die App sehr empfehlen, besonders die Begleitung durch eine Therapeutin war super!",berti176,
1482760714,Heieiei...,1,2020-12-08T19:24:06Z,False,"Die Inhalte der App werden hier nicht bewertet, sondern die App selbst. Das Scrollen ist einfach total langsam und zeitversetzt. Warum macht ihr sowas? Zudem muss ich mich jedes Mal erneut einloggen, wenn ich die App verlasse. Nicht schließe, sondern einfach nur verlasse. Auf dem iPhone 12 mini ist es zudem extrem selten, dass man den „zurück“ Pfeil bei den Videos betätigen kann. Dieser liegt überhalb der Uhr und ist zu 99% einfach nicht klickbar. Und zu „guter“ letzt: warum gibt es hier solche seltsamen Felder für die Texteingaben? iOS Standard wäre wünschenswert. App aktuell 1 Stern, die Inhalte sind bisher gut.",Mr. Mooky,"Hallo Mr.Mooky, danke für dein Feedback! Wir haben all die von dir beschriebenen Dinge gefixed. Der erneute Log-In nach dem Verlassen der App ist allerdings erforderlich, um den höchsten Sicherheitsanforderungen zu genügen. Wir freuen uns, dass du mit dem Inhalt der App zufrieden bist! Viele Grüße, dein Team von Invirto"
1482760714,Tolle Lösung,5,2021-02-25T20:23:54Z,False,Mega gute App! Mega tolles Konzept! Danke,Gonn09,
1511739470,Übersichtlicher Kopfschmerzkalender mit integrierten Therapiemassnahmen,5,2021-01-19T11:15:38Z,False,"Ich bin total begeistert von dieser App! Tolles Design, Übersichtlichkeit und die Möglichkeit der schnellen Eingabe aller Daten zur Kopfschmerzanalyse! Auch Brainy, der digitale Assistent, sowie der ausführliche Wissensteil sind super gelungen. Die erste App, die auch Therapiemassnahmen anbietet. Sehr zu empfehlen!",MiShiCo05,Danke für dein lobendes Feedback! Das freut uns sehr :) 
1511739470,Mit Verschreibung kostenlos,5,2021-01-23T15:21:41Z,True,"Hab mir mit dem Rezept von meine Ärztin einen Code bei der Barmer geholt, ging ganz problemlos. Nach einer Woche war der Code im Briefkasten und alles funktionierte ganz problemlos. Die Beschreibung auf der Website war sehr hilfreich. Danke! Toll!",Schnarchnase82,Vielen Dank! Die 5 Sterne motivieren uns sehr! Dein M-sense Team
1511739470,Tolle App 👍,5,2021-02-28T21:03:03Z,False,"Ich bin total begeistert von der App.  Habe seit 30 Jahren Migräne, natürlich gibt man die Hoffnung da irgendwann auf, dass es ein Ende nimmt. Mit den Schmerzen muss man Leben, aber ich muss wirklich 5 Sterne dafür geben, weil es mir einfach gut tut. Endlich mal was tolles. Danke dafür.",Cara 04,"Toll, das freut uns sehr und motiviert uns, die App noch besser zu machen!!"
1511739470,Probleme,2,2021-01-12T08:43:32Z,False,"Ich liebe diese App sehr, für ihre detaillierten Angaben. Und nutze die täglich.  Seit dem neuen Update ist es mir allerdings nicht mehr möglich, Kopfschmerz Attacken einzutragen, weil sich die App ständig selbstständig beendet. Nutze iOS 14.3 Hoffe auf schnelle Beseitigung des Fehlers. 🙏🏼",нoυѕeмιeтze,"Hallo! Danke für deine Nachricht! Melde dich für die Problembehebung bitte einmal per E-Mail unter: support@m-sense.de  Viele Grüße, dein M-sense Team"
1511739470,ich weiss ja nicht... 🤔,2,2021-03-03T17:15:27Z,False,"ich werde hier mal nach und nach punkte auflisten, die unbedingt verbessert werden müssen:  1. tagebuch: graue schrift auf hellgrauem grund? echt jetzt? optimal für leute mit migräne, denen es sowieso schon lästig ist ins licht (display) zu schauen.  man wird genötigt sich auf kontrastlosem durcheinander, welches auch noch ständig seine position verändert, die richtige rubrik zu suchen. in minischrift natürlich.  sehr migräniker*innen freundlich. ☹️ da frage ich mich, wie kund*innenorientiert die entwickler*innen bei euch so denken?",reusper,
1511739470,Teuer,1,2020-10-08T12:20:31Z,False,600€ im Jahr die sind doch nicht ganz dicht!,urixteuer,"Es ist für uns nachvollziehbar, wenn der Preis für dich hoch erscheint. Auch wenn wir auf deinem Smartphone direkt neben vielen anderen Apps stehen, ist ein Vergleich mit kostenlosen oder günstigen Apps dennoch nicht ganz fair. Wir sind ein Medizinprodukt mit CE-Kennzeichen und müssen, um von allen gesetzlichen Krankenkassen erstattet werden, einen langen, komplizierten Prozess durchlaufen und viele Voraussetzungen erfüllen, z.b. in einer großen Studie zeigen, dass die Nutzung von M-sense Migräne positive Versorgungseffekte hat. Daneben gelten für uns ganz andere Anforderungen an Datensicherheit, Datenschutz und Risikomanagement als für die allermeisten Apps in App- und Playstore.  Ab hoffentlich Anfang 2021 können dann alle Ärzte und Psychotherapeuten M-sense Migräne als digitale Gesundheitsanwendung (DiGA -> https://diga.bfarm.de/de/diga-nutzer) verschreiben. Die ersten DiGAs haben die Prüfung vom Bundesinstitut für Arzneimittel und Medizinprodukte durchlaufen und haben ähnliche Preise wie M-sense Migräne.  Wir sind davon überzeugt, dass auch Migränebetroffene die bestmögliche Versorgung erhalten sollen. Diese gibt es leider nicht umsonst. Wenn du weiterhin skeptisch bist, würden wir uns freuen, wenn du die Möglichkeiten und Kosten von M-sense Migräne einfach mal mit deiner behandelnden Ärztin besprichst. Wir haben mit einem Team von Migräneforscher*innen, Psychotherapeut*innen und IT-Entwickler*innen 4 Jahre Entwicklungszeit in M-sense Migräne gesteckt und möchten, dass wir vielen Migränebetroffenen helfen können. "
